timestamp,close,high,low,trade_count,open,volume,vwap,symbol,SMA_3,EMA_10,Signal
2025-02-04 05:00:00+00:00,232.81,233.13,226.66,16088,227.25,1318554,231.058801,AAPL,,232.81,0
2025-02-05 05:00:00+00:00,232.45,232.665,228.3,11762,228.31,920706,230.301674,AAPL,,232.74454545454546,0
2025-02-06 05:00:00+00:00,233.175,233.775,230.45,10528,231.325,782002,232.193964,AAPL,232.81166666666664,232.82280991735539,-1
2025-02-07 05:00:00+00:00,227.68,234.0,227.27,12691,232.405,927073,229.375907,AAPL,231.1016666666667,231.88775356874532,-1
2025-02-10 05:00:00+00:00,227.66,230.58,227.205,10018,229.58,734280,228.766555,AAPL,229.505,231.11907110170068,-1
2025-02-11 05:00:00+00:00,232.59,235.225,228.2,15176,228.2,1201805,232.745324,AAPL,229.31000000000003,231.38651271957326,-1
2025-02-12 05:00:00+00:00,236.83,236.92,230.765,16032,231.18,1238524,234.725862,AAPL,232.36,232.37623767965084,-1
2025-02-13 05:00:00+00:00,241.49,242.33,235.6,14323,236.97,1214691,240.02455,AAPL,236.97000000000003,234.03328537425978,1
2025-02-14 05:00:00+00:00,244.6,245.41,241.21,14743,241.21,1220858,243.98602,AAPL,240.97333333333336,235.95450621530344,1
2025-02-18 05:00:00+00:00,244.45,245.15,241.885,15707,244.12,1233762,243.836702,AAPL,243.51333333333332,237.49914144888461,1
2025-02-19 05:00:00+00:00,244.9,246.0,243.18,9829,244.67,714274,244.669407,AAPL,244.64999999999998,238.84475209454195,1
2025-02-20 05:00:00+00:00,245.84,246.66,244.31,13053,244.925,930650,245.583091,AAPL,245.06333333333336,240.11661535007977,1
2025-02-21 05:00:00+00:00,245.68,248.69,245.23,19264,245.91,1444119,246.533569,AAPL,245.47333333333336,241.12813983188346,1
2025-02-04 05:00:00+00:00,392.19,393.94,381.41,10795,382.51,574785,386.782522,TSLA,,392.19,0
2025-02-05 05:00:00+00:00,378.01,388.21,375.58,12560,387.44,608211,381.354292,TSLA,,389.6118181818182,0
2025-02-06 05:00:00+00:00,373.835,375.23,363.3,10496,373.14,574865,368.649925,TSLA,381.34499999999997,386.743305785124,-1
2025-02-07 05:00:00+00:00,361.47,380.28,360.4,12277,370.16,630144,368.533111,TSLA,371.105,382.1481592787378,-1
2025-02-10 05:00:00+00:00,350.655,362.63,350.535,11269,356.2,683263,355.664177,TSLA,361.9866666666667,376.4221303189673,-1
2025-02-11 05:00:00+00:00,328.505,349.29,325.13,18207,345.6,1110698,334.336254,TSLA,346.8766666666667,367.70992480642775,-1
2025-02-12 05:00:00+00:00,336.44,346.36,329.23,14119,330.0,846124,340.042263,TSLA,338.5333333333333,362.0244839325318,-1
2025-02-13 05:00:00+00:00,355.98,358.56,342.87,12435,345.1,671773,352.647769,TSLA,340.30833333333334,360.92548685388965,-1
2025-02-14 05:00:00+00:00,355.92,361.92,347.625,12578,360.53,661557,353.056027,TSLA,349.4466666666667,360.01539833500055,-1
2025-02-18 05:00:00+00:00,354.1,358.99,350.04,7256,355.01,314047,354.37237,TSLA,355.3333333333333,358.93987136500044,-1
2025-02-19 05:00:00+00:00,360.55,367.34,353.82,10202,353.93,517848,361.873317,TSLA,356.8566666666666,359.23262202590945,-1
2025-02-20 05:00:00+00:00,354.44,362.3,348.03,8452,361.7,433006,352.823032,TSLA,356.3633333333334,358.3612362030168,-1
2025-02-21 05:00:00+00:00,337.66,354.92,334.485,14279,353.31,831385,340.384301,TSLA,350.8833333333334,354.59737507519554,-1
2025-02-04 05:00:00+00:00,412.21,413.86,409.795,9795,411.89,536286,411.817124,MSFT,,412.21,0
2025-02-05 05:00:00+00:00,413.265,413.7,410.47,8956,411.51,446094,412.469246,MSFT,,412.4018181818181,0
2025-02-06 05:00:00+00:00,415.74,418.17,414.125,8366,414.34,439620,416.037881,MSFT,413.7383333333333,413.0087603305784,1
2025-02-07 05:00:00+00:00,409.75,418.61,408.14,11438,416.145,598502,411.40109,MSFT,412.9183333333333,412.4162584522914,1
2025-02-10 05:00:00+00:00,412.2,415.455,410.945,10772,413.685,495128,412.646894,MSFT,412.56333333333333,412.37693873369295,1
2025-02-11 05:00:00+00:00,411.5,412.49,409.365,5256,409.565,266324,410.848373,MSFT,411.15000000000003,412.21749532756695,-1
2025-02-12 05:00:00+00:00,408.9,410.715,404.39,8887,407.375,591021,408.932522,MSFT,410.8666666666666,411.61431435891836,-1
2025-02-13 05:00:00+00:00,410.53,410.985,406.42,8686,407.245,451882,408.810287,MSFT,410.30999999999995,411.41716629366044,-1
2025-02-14 05:00:00+00:00,408.33,408.83,405.92,9688,407.72,547429,407.473998,MSFT,409.25333333333333,410.8558633311767,-1
2025-02-18 05:00:00+00:00,409.58,410.56,406.54,7592,408.035,363578,408.498387,MSFT,409.48,410.62388818005365,-1
2025-02-19 05:00:00+00:00,414.815,415.48,407.65,9475,408.485,591677,411.052641,MSFT,410.9083333333333,411.38590851095296,-1
2025-02-20 05:00:00+00:00,416.06,419.26,412.74,10421,415.43,533906,416.543614,MSFT,413.48499999999996,412.23574332714327,1
2025-02-21 05:00:00+00:00,408.27,417.98,407.965,9992,417.55,537400,411.815163,MSFT,413.04833333333335,411.5146990858445,1
